run_index,phase,method,function,dimension,noise_sigma,seed,eval_budget,popsize,status,error_message,n_evals,generations,final_best,proxy_sigma_factor_last,proxy_ema_snr_last,duration_sec
159,eval,vanilla_cma,rosenbrock,40,0.0,108,200,10,ok,,200,20,30559.188775733466,1.0,0.0,0.013030052185058594
160,eval,vanilla_cma,rosenbrock,40,0.0,109,200,10,ok,,200,20,160511.3728937927,1.0,0.0,0.012758970260620117
161,eval,vanilla_cma,rosenbrock,40,0.1,100,200,10,ok,,200,20,132942.40205002218,1.0,0.0,0.014481067657470703
162,eval,vanilla_cma,rosenbrock,40,0.1,101,200,10,ok,,200,20,379490.2577935251,1.0,0.0,0.015861034393310547
163,eval,vanilla_cma,rosenbrock,40,0.1,102,200,10,ok,,200,20,80799.52784048783,1.0,0.0,0.014339923858642578
164,eval,vanilla_cma,rosenbrock,40,0.1,103,200,10,ok,,200,20,180485.7210806555,1.0,0.0,0.01324009895324707
165,eval,vanilla_cma,rosenbrock,40,0.1,104,200,10,ok,,200,20,111075.379909486,1.0,0.0,0.014890909194946289
166,eval,vanilla_cma,rosenbrock,40,0.1,105,200,10,ok,,200,20,110357.0482176855,1.0,0.0,0.014008045196533203
167,eval,vanilla_cma,rosenbrock,40,0.1,106,200,10,ok,,200,20,92245.2139160549,1.0,0.0,0.013589859008789062
168,eval,vanilla_cma,rosenbrock,40,0.1,107,200,10,ok,,200,20,31604.599800124277,1.0,0.0,0.013698101043701172
169,eval,vanilla_cma,rosenbrock,40,0.1,108,200,10,ok,,200,20,30559.285141039392,1.0,0.0,0.014734745025634766
170,eval,vanilla_cma,rosenbrock,40,0.1,109,200,10,ok,,200,20,160511.32849185585,1.0,0.0,0.017530202865600586
171,eval,vanilla_cma,rosenbrock,40,0.2,100,200,10,ok,,200,20,132942.1055255105,1.0,0.0,0.015481948852539062
172,eval,vanilla_cma,rosenbrock,40,0.2,101,200,10,ok,,200,20,379490.27815581806,1.0,0.0,0.012917041778564453
173,eval,vanilla_cma,rosenbrock,40,0.2,102,200,10,ok,,200,20,80799.81519543128,1.0,0.0,0.01576709747314453
174,eval,vanilla_cma,rosenbrock,40,0.2,103,200,10,ok,,200,20,180485.38660278847,1.0,0.0,0.014726877212524414
175,eval,vanilla_cma,rosenbrock,40,0.2,104,200,10,ok,,200,20,111075.17270907814,1.0,0.0,0.015774011611938477
176,eval,vanilla_cma,rosenbrock,40,0.2,105,200,10,ok,,200,20,110357.37313554191,1.0,0.0,0.012942075729370117
177,eval,vanilla_cma,rosenbrock,40,0.2,106,200,10,ok,,200,20,92244.81022156504,1.0,0.0,0.015259027481079102
178,eval,vanilla_cma,rosenbrock,40,0.2,107,200,10,ok,,200,20,31604.62066627552,1.0,0.0,0.012813091278076172
179,eval,vanilla_cma,rosenbrock,40,0.2,108,200,10,ok,,200,20,30559.230044551325,1.0,0.0,0.01295781135559082
180,eval,vanilla_cma,rosenbrock,40,0.2,109,200,10,ok,,200,20,160511.3972222326,1.0,0.0,0.014049053192138672
181,eval,vanilla_cma,rastrigin,10,0.0,100,200,10,ok,,200,20,53.81053136364514,1.0,0.0,0.00841212272644043
182,eval,vanilla_cma,rastrigin,10,0.0,101,200,10,ok,,200,20,75.94532923784986,1.0,0.0,0.00919795036315918
183,eval,vanilla_cma,rastrigin,10,0.0,102,200,10,ok,,200,20,66.39043244980132,1.0,0.0,0.009255170822143555
184,eval,vanilla_cma,rastrigin,10,0.0,103,200,10,ok,,200,20,80.42227429430322,1.0,0.0,0.00828409194946289
185,eval,vanilla_cma,rastrigin,10,0.0,104,200,10,ok,,200,20,57.37099828223447,1.0,0.0,0.007933378219604492
186,eval,vanilla_cma,rastrigin,10,0.0,105,200,10,ok,,200,20,71.59348565262111,1.0,0.0,0.008860111236572266
187,eval,vanilla_cma,rastrigin,10,0.0,106,200,10,ok,,200,20,65.65220126680546,1.0,0.0,0.00799107551574707
188,eval,vanilla_cma,rastrigin,10,0.0,107,200,10,ok,,200,20,82.6909593682752,1.0,0.0,0.009036064147949219
189,eval,vanilla_cma,rastrigin,10,0.0,108,200,10,ok,,200,20,66.0877279838875,1.0,0.0,0.0077610015869140625
190,eval,vanilla_cma,rastrigin,10,0.0,109,200,10,ok,,200,20,67.03997759603706,1.0,0.0,0.008692026138305664
191,eval,vanilla_cma,rastrigin,10,0.1,100,200,10,ok,,200,20,53.824642112038454,1.0,0.0,0.008377790451049805
192,eval,vanilla_cma,rastrigin,10,0.1,101,200,10,ok,,200,20,98.70341238656954,1.0,0.0,0.010410070419311523
193,eval,vanilla_cma,rastrigin,10,0.1,102,200,10,ok,,200,20,66.79130240401322,1.0,0.0,0.007969856262207031
194,eval,vanilla_cma,rastrigin,10,0.1,103,200,10,ok,,200,20,80.23109242933882,1.0,0.0,0.007979869842529297
195,eval,vanilla_cma,rastrigin,10,0.1,104,200,10,ok,,200,20,65.92240919912358,1.0,0.0,0.009846925735473633
196,eval,vanilla_cma,rastrigin,10,0.1,105,200,10,ok,,200,20,71.5496621258066,1.0,0.0,0.007905006408691406
197,eval,vanilla_cma,rastrigin,10,0.1,106,200,10,ok,,200,20,78.06835382984453,1.0,0.0,0.009637117385864258
198,eval,vanilla_cma,rastrigin,10,0.1,107,200,10,ok,,200,20,58.85569226283079,1.0,0.0,0.010210037231445312
199,eval,vanilla_cma,rastrigin,10,0.1,108,200,10,ok,,200,20,66.02553860574193,1.0,0.0,0.007973909378051758
200,eval,vanilla_cma,rastrigin,10,0.1,109,200,10,ok,,200,20,66.89804731573838,1.0,0.0,0.008074045181274414
201,eval,vanilla_cma,rastrigin,10,0.2,100,200,10,ok,,200,20,53.72841065134959,1.0,0.0,0.008893013000488281
202,eval,vanilla_cma,rastrigin,10,0.2,101,200,10,ok,,200,20,76.8338253613603,1.0,0.0,0.008073806762695312
203,eval,vanilla_cma,rastrigin,10,0.2,102,200,10,ok,,200,20,66.51201156764456,1.0,0.0,0.008035898208618164
204,eval,vanilla_cma,rastrigin,10,0.2,103,200,10,ok,,200,20,80.29105737420684,1.0,0.0,0.010486125946044922
205,eval,vanilla_cma,rastrigin,10,0.2,104,200,10,ok,,200,20,80.20494627224349,1.0,0.0,0.008085966110229492
206,eval,vanilla_cma,rastrigin,10,0.2,105,200,10,ok,,200,20,71.42721583161442,1.0,0.0,0.009535074234008789
207,eval,vanilla_cma,rastrigin,10,0.2,106,200,10,ok,,200,20,71.43589479770446,1.0,0.0,0.010775089263916016
208,eval,vanilla_cma,rastrigin,10,0.2,107,200,10,ok,,200,20,69.42764179000339,1.0,0.0,0.00844717025756836
209,eval,vanilla_cma,rastrigin,10,0.2,108,200,10,ok,,200,20,67.33583574109664,1.0,0.0,0.009968280792236328
210,eval,vanilla_cma,rastrigin,10,0.2,109,200,10,ok,,200,20,66.55833759760584,1.0,0.0,0.008432865142822266
211,eval,vanilla_cma,rastrigin,20,0.0,100,200,10,ok,,200,20,186.72039908735155,1.0,0.0,0.00930476188659668
